:,PeriodFormatterBuilder_ESTest::test000,PeriodFormatterBuilder_ESTest::test001,PeriodFormatterBuilder_ESTest::test002,PeriodFormatterBuilder_ESTest::test003,PeriodFormatterBuilder_ESTest::test004,PeriodFormatterBuilder_ESTest::test005,PeriodFormatterBuilder_ESTest::test006,PeriodFormatterBuilder_ESTest::test007,PeriodFormatterBuilder_ESTest::test008,PeriodFormatterBuilder_ESTest::test009,PeriodFormatterBuilder_ESTest::test010,PeriodFormatterBuilder_ESTest::test011,PeriodFormatterBuilder_ESTest::test012,PeriodFormatterBuilder_ESTest::test013,PeriodFormatterBuilder_ESTest::test014,PeriodFormatterBuilder_ESTest::test015,PeriodFormatterBuilder_ESTest::test016,PeriodFormatterBuilder_ESTest::test017,PeriodFormatterBuilder_ESTest::test018,PeriodFormatterBuilder_ESTest::test019,PeriodFormatterBuilder_ESTest::test020,PeriodFormatterBuilder_ESTest::test021,PeriodFormatterBuilder_ESTest::test022,PeriodFormatterBuilder_ESTest::test023,PeriodFormatterBuilder_ESTest::test024,PeriodFormatterBuilder_ESTest::test025,PeriodFormatterBuilder_ESTest::test026,PeriodFormatterBuilder_ESTest::test027,PeriodFormatterBuilder_ESTest::test028,PeriodFormatterBuilder_ESTest::test029,PeriodFormatterBuilder_ESTest::test030,PeriodFormatterBuilder_ESTest::test031,PeriodFormatterBuilder_ESTest::test032,PeriodFormatterBuilder_ESTest::test033,PeriodFormatterBuilder_ESTest::test034,PeriodFormatterBuilder_ESTest::test035,PeriodFormatterBuilder_ESTest::test036,PeriodFormatterBuilder_ESTest::test037,PeriodFormatterBuilder_ESTest::test038,PeriodFormatterBuilder_ESTest::test039,PeriodFormatterBuilder_ESTest::test040,PeriodFormatterBuilder_ESTest::test041,PeriodFormatterBuilder_ESTest::test042,PeriodFormatterBuilder_ESTest::test043,PeriodFormatterBuilder_ESTest::test044,PeriodFormatterBuilder_ESTest::test045,PeriodFormatterBuilder_ESTest::test046,PeriodFormatterBuilder_ESTest::test047,PeriodFormatterBuilder_ESTest::test048,PeriodFormatterBuilder_ESTest::test049,PeriodFormatterBuilder_ESTest::test050,PeriodFormatterBuilder_ESTest::test051,PeriodFormatterBuilder_ESTest::test052,PeriodFormatterBuilder_ESTest::test053,PeriodFormatterBuilder_ESTest::test054,PeriodFormatterBuilder_ESTest::test055,PeriodFormatterBuilder_ESTest::test056,PeriodFormatterBuilder_ESTest::test057,PeriodFormatterBuilder_ESTest::test058,PeriodFormatterBuilder_ESTest::test059,PeriodFormatterBuilder_ESTest::test060,PeriodFormatterBuilder_ESTest::test061,PeriodFormatterBuilder_ESTest::test062,PeriodFormatterBuilder_ESTest::test063,PeriodFormatterBuilder_ESTest::test064,PeriodFormatterBuilder_ESTest::test065,PeriodFormatterBuilder_ESTest::test066,PeriodFormatterBuilder_ESTest::test067,PeriodFormatterBuilder_ESTest::test068,PeriodFormatterBuilder_ESTest::test069,PeriodFormatterBuilder_ESTest::test070,PeriodFormatterBuilder_ESTest::test071,PeriodFormatterBuilder_ESTest::test072,PeriodFormatterBuilder_ESTest::test073,PeriodFormatterBuilder_ESTest::test074,PeriodFormatterBuilder_ESTest::test075,PeriodFormatterBuilder_ESTest::test076,PeriodFormatterBuilder_ESTest::test077,PeriodFormatterBuilder_ESTest::test078,PeriodFormatterBuilder_ESTest::test079,PeriodFormatterBuilder_ESTest::test080,PeriodFormatterBuilder_ESTest::test081,PeriodFormatterBuilder_ESTest::test082,PeriodFormatterBuilder_ESTest::test083,PeriodFormatterBuilder_ESTest::test084,PeriodFormatterBuilder_ESTest::test085,PeriodFormatterBuilder_ESTest::test086,PeriodFormatterBuilder_ESTest::test087,PeriodFormatterBuilder_ESTest::test088,PeriodFormatterBuilder_ESTest::test089,PeriodFormatterBuilder_ESTest::test090,PeriodFormatterBuilder_ESTest::test091,PeriodFormatterBuilder_ESTest::test092,PeriodFormatterBuilder_ESTest::test093,PeriodFormatterBuilder_ESTest::test094,PeriodFormatterBuilder_ESTest::test095,PeriodFormatterBuilder_ESTest::test096,PeriodFormatterBuilder_ESTest::test097,PeriodFormatterBuilder_ESTest::test098,PeriodFormatterBuilder_ESTest::test099,PeriodFormatterBuilder_ESTest::test100,PeriodFormatterBuilder_ESTest::test101,PeriodFormatterBuilder_ESTest::test102,PeriodFormatterBuilder_ESTest::test103,PeriodFormatterBuilder_ESTest::test104,PeriodFormatterBuilder_ESTest::test105,PeriodFormatterBuilder_ESTest::test106,PeriodFormatterBuilder_ESTest::test107,PeriodFormatterBuilder_ESTest::test108,PeriodFormatterBuilder_ESTest::test109,PeriodFormatterBuilder_ESTest::test110,PeriodFormatterBuilder_ESTest::test111,PeriodFormatterBuilder_ESTest::test112,PeriodFormatterBuilder_ESTest::test113,PeriodFormatterBuilder_ESTest::test114,PeriodFormatterBuilder_ESTest::test115,PeriodFormatterBuilder_ESTest::test116,PeriodFormatterBuilder_ESTest::test117,PeriodFormatterBuilder_ESTest::test118,PeriodFormatterBuilder_ESTest::test119,PeriodFormatterBuilder_ESTest::test120,PeriodFormatterBuilder_ESTest::test121,PeriodFormatterBuilder_ESTest::test122,PeriodFormatterBuilder_ESTest::test123,PeriodFormatterBuilder_ESTest::test124,PeriodFormatterBuilder_ESTest::test125,PeriodFormatterBuilder_ESTest::test126,
PeriodFormatterBuilder_ESTest::test071 ,18,3,0,5,0,7,2,2,0,0,2,10,1,2,1,9,9,3,2,1,0,2,3,0,2,2,3,2,0,1,2,3,2,2,4,1,3,2,1,1,4,1,1,7,1,9,1,1,2,1,1,2,1,2,1,1,1,2,5,2,4,10,9,10,6,3,10,10,16,3,8,0,10,5,5,3,9,2,23,15,13,1,4,9,14,7,8,9,10,8,3,7,12,4,4,3,2,4,3,5,1,1,13,1,12,3,3,9,10,9,13,5,7,6,10,10,7,7,9,14,14,7,5,13,5,1,2,
PeriodFormatterBuilder_ESTest::test072 ,16,8,10,7,10,8,10,8,10,10,10,9,10,8,11,3,2,7,9,9,10,9,9,10,9,9,9,9,10,9,9,9,9,9,8,9,9,9,9,9,8,9,9,8,9,9,10,10,9,10,10,9,10,9,10,10,9,9,8,9,9,2,10,10,6,8,7,9,14,7,10,10,0,5,5,8,1,8,19,13,7,10,7,2,5,9,9,9,10,9,9,10,12,8,8,8,8,7,8,8,10,10,6,11,10,10,7,3,8,1,11,9,8,9,2,0,8,8,3,5,5,8,6,6,8,9,8,
PeriodFormatterBuilder_ESTest::test073 ,15,3,5,2,5,4,5,3,5,5,5,9,5,3,6,6,5,3,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,6,5,5,4,5,5,4,5,4,5,5,4,4,3,4,4,7,8,9,3,3,7,6,13,2,8,5,5,0,0,4,6,3,20,13,11,5,2,6,10,5,4,5,6,4,4,6,11,3,3,3,3,4,3,4,5,5,10,6,9,5,2,6,8,5,10,4,5,4,5,5,5,4,6,9,9,4,1,10,3,4,3,
PeriodFormatterBuilder_ESTest::test074 ,15,3,5,2,5,4,5,3,5,5,5,9,5,3,6,6,5,3,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,6,5,5,4,5,5,4,5,4,5,5,4,4,3,4,4,7,8,9,3,3,7,6,13,2,8,5,5,0,0,4,6,3,20,13,11,5,2,6,10,5,4,5,6,4,4,6,11,3,3,3,3,4,3,4,5,5,10,6,9,5,2,6,8,5,10,4,5,4,5,5,5,4,6,9,9,4,1,10,3,4,3,
PeriodFormatterBuilder_ESTest::test075 ,16,2,3,4,3,6,3,3,3,3,3,9,3,3,4,8,8,3,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,3,8,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,8,8,9,4,2,9,8,15,2,8,3,8,4,4,0,7,3,21,15,11,3,3,7,12,5,6,7,8,6,3,6,11,3,3,3,3,3,3,5,3,3,11,4,11,3,2,8,9,7,12,5,6,5,9,8,6,6,8,13,13,6,4,11,3,2,2,
PeriodFormatterBuilder_ESTest::test076 ,15,7,9,7,9,8,9,7,9,9,9,9,9,7,10,2,2,6,8,9,9,8,8,9,8,8,8,8,9,8,8,8,8,8,7,8,8,8,8,8,8,9,8,8,9,8,9,9,8,9,9,8,9,8,9,9,8,8,7,8,8,2,9,9,6,7,6,10,14,6,9,9,1,6,6,7,0,7,19,14,6,9,6,1,5,8,9,9,10,9,8,9,12,7,8,7,7,6,7,8,9,9,5,10,10,9,6,2,8,1,11,8,7,8,3,1,7,8,3,6,6,8,6,5,7,8,7,
PeriodFormatterBuilder_ESTest::test077 ,17,2,2,3,2,5,2,0,2,2,2,9,2,0,3,8,7,1,2,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2,3,1,3,2,1,1,4,2,1,6,2,9,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,9,8,9,5,3,9,8,15,2,8,2,8,3,3,3,7,0,22,15,12,2,3,8,12,6,6,7,8,6,3,6,12,2,2,1,0,2,1,4,2,2,12,3,11,3,2,8,9,8,11,5,6,4,8,8,6,6,7,12,12,6,4,12,4,1,1,
PeriodFormatterBuilder_ESTest::test078 ,21,22,23,21,23,22,23,22,23,23,23,23,23,22,24,20,20,21,22,23,23,22,22,23,22,22,22,22,23,22,22,22,22,22,21,22,22,22,22,22,21,23,22,22,23,22,23,23,22,23,23,22,23,22,23,23,22,22,21,22,22,18,23,23,19,21,22,22,18,21,19,23,19,20,20,21,19,22,0,22,20,23,20,19,19,22,22,22,22,22,23,23,20,22,21,22,22,20,22,21,23,23,19,24,19,23,20,20,22,19,21,22,22,22,20,19,22,22,21,21,21,22,20,19,21,22,22,
PeriodFormatterBuilder_ESTest::test079 ,17,15,15,13,15,14,14,15,15,15,14,11,14,15,16,13,14,15,14,14,15,14,13,15,14,14,13,14,15,15,14,13,14,14,15,15,13,14,15,15,13,14,15,13,14,12,16,16,14,16,16,14,16,14,16,16,14,13,13,14,13,14,16,16,14,14,12,13,15,14,15,15,13,13,13,15,14,15,22,0,14,16,14,14,14,14,14,13,13,14,15,16,16,15,15,15,15,15,15,13,16,16,14,16,14,14,14,14,14,13,13,15,12,14,13,13,13,12,14,13,13,13,13,14,14,15,15,
PeriodFormatterBuilder_ESTest::test080 ,17,12,13,11,13,12,13,12,13,13,13,9,12,12,14,7,7,12,12,13,13,12,12,13,12,12,12,12,13,12,12,12,12,12,11,12,12,12,12,12,12,13,12,12,13,11,13,13,12,13,13,12,13,12,13,13,12,11,11,11,11,6,13,13,11,11,7,12,14,11,13,13,7,11,11,11,6,12,20,14,0,13,9,5,2,12,12,12,12,12,12,13,14,12,12,12,12,12,12,12,13,13,1,14,11,12,10,6,11,6,10,12,12,12,7,7,12,12,7,6,6,12,11,1,11,12,12,
PeriodFormatterBuilder_ESTest::test081 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test082 ,16,3,4,3,4,6,4,3,4,4,4,8,4,3,5,6,6,3,3,4,4,3,4,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,6,4,7,4,4,3,4,4,3,4,3,4,4,3,3,3,3,4,6,8,9,3,2,7,8,14,2,8,4,7,2,2,3,6,3,20,14,9,4,0,5,10,6,6,7,8,6,4,6,11,4,4,3,3,3,3,4,4,4,9,5,10,4,1,5,9,6,10,4,6,5,7,7,6,6,6,10,10,6,2,9,3,3,3,
PeriodFormatterBuilder_ESTest::test083 ,16,8,9,7,9,8,9,8,9,9,9,8,9,8,10,2,2,7,8,9,9,8,8,9,8,8,8,8,9,8,8,8,8,8,7,8,8,8,8,8,8,9,8,8,9,8,9,9,8,9,9,8,9,8,9,9,8,8,7,8,8,1,10,10,6,7,5,10,14,7,9,9,2,6,6,7,1,8,19,14,5,9,5,0,5,8,9,9,10,9,9,10,12,8,8,8,8,7,8,8,9,9,4,10,11,9,6,2,9,1,11,8,8,8,3,2,8,8,2,6,6,8,6,4,7,8,8,
PeriodFormatterBuilder_ESTest::test084 ,17,12,14,12,14,13,14,12,14,14,14,10,14,12,15,7,6,11,13,14,14,13,13,14,13,13,13,13,14,13,13,13,13,13,12,13,13,13,13,13,13,14,13,13,14,13,14,14,13,14,14,13,14,13,14,14,13,13,12,13,13,5,14,14,10,12,8,13,15,11,14,14,5,10,10,12,5,12,19,14,2,14,10,5,0,13,13,13,13,13,13,14,15,12,12,12,12,11,12,12,14,14,1,15,12,14,11,7,11,6,12,13,12,13,7,5,12,13,6,7,7,13,11,1,12,13,12,
PeriodFormatterBuilder_ESTest::test085 ,16,4,7,5,7,4,7,6,7,7,7,8,6,6,8,9,9,7,5,6,7,5,5,7,5,5,5,5,7,6,5,5,5,5,4,6,5,5,6,6,4,6,6,3,6,6,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,9,6,7,6,5,7,3,14,5,8,7,9,5,5,5,8,6,22,14,12,7,6,8,13,0,1,2,3,1,5,5,10,6,6,6,6,7,6,7,7,7,12,8,10,5,6,9,9,8,11,7,6,3,9,9,7,4,9,9,9,6,6,12,4,6,5,
PeriodFormatterBuilder_ESTest::test086 ,16,5,8,5,8,4,8,6,8,8,8,9,7,6,9,9,9,6,6,7,8,6,6,8,6,6,6,6,8,7,6,6,6,6,5,7,6,6,7,7,5,7,7,4,7,6,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,9,7,8,6,6,8,2,14,6,8,8,9,4,4,6,9,6,22,14,12,8,6,9,13,1,0,1,2,0,6,6,10,6,6,6,6,7,6,7,8,8,12,9,11,6,6,9,9,9,10,8,7,3,8,9,7,5,9,8,8,7,5,12,5,7,6,
PeriodFormatterBuilder_ESTest::test087 ,16,6,9,6,9,5,9,7,9,9,9,9,8,7,10,9,9,7,7,8,9,7,6,9,7,7,6,7,9,8,7,6,7,7,6,8,6,7,8,8,5,8,8,4,8,6,9,9,9,9,9,9,9,9,9,9,9,8,7,7,7,10,7,8,6,7,7,1,14,7,9,9,9,5,5,7,9,7,22,13,12,9,7,9,13,2,1,0,3,1,7,7,10,7,7,7,7,8,7,8,9,9,12,10,11,7,7,9,9,8,11,8,6,4,9,9,7,4,9,8,8,6,5,12,5,8,7,
PeriodFormatterBuilder_ESTest::test088 ,16,7,10,7,10,5,10,8,10,10,10,9,9,8,11,10,10,8,8,9,10,8,7,10,8,8,7,8,10,9,8,7,8,8,7,9,7,8,9,9,6,9,9,6,9,8,10,10,10,10,10,10,10,10,10,10,10,9,8,8,7,10,9,9,8,8,8,4,15,8,10,10,10,6,6,8,10,8,22,13,12,10,8,10,13,3,2,3,0,2,8,8,11,8,8,8,8,9,8,9,10,10,12,11,11,8,8,10,10,10,11,10,8,5,10,10,8,7,10,8,8,8,7,12,6,9,8,
PeriodFormatterBuilder_ESTest::test089 ,16,5,8,5,8,4,8,6,8,8,8,9,7,6,9,9,9,6,6,7,8,6,6,8,6,6,6,6,8,7,6,6,6,6,5,7,6,6,7,7,5,7,7,4,7,6,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,9,7,8,6,6,8,2,14,6,8,8,9,4,4,6,9,6,22,14,12,8,6,9,13,1,0,1,2,0,6,6,10,6,6,6,6,7,6,7,8,8,12,9,11,6,6,9,9,9,10,8,7,3,8,9,7,5,9,8,8,7,5,12,5,7,6,
PeriodFormatterBuilder_ESTest::test090 ,17,2,3,5,3,5,3,3,3,3,3,9,2,3,4,9,8,4,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,8,4,4,3,4,4,3,4,3,4,4,3,3,4,1,3,10,8,9,6,3,8,8,14,2,9,3,9,4,4,3,8,3,23,15,12,4,4,9,13,5,6,7,8,6,0,5,10,3,4,3,3,5,3,6,4,4,13,4,11,4,3,9,8,9,11,4,7,5,9,9,6,6,8,12,12,6,5,13,4,3,2,
PeriodFormatterBuilder_ESTest::test091 ,16,5,7,7,7,6,7,6,7,7,7,9,7,6,8,10,9,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,6,7,7,8,8,7,8,8,7,8,7,8,8,7,7,6,6,7,10,6,7,6,5,9,8,12,6,9,7,10,6,6,6,9,6,23,16,13,8,6,10,14,5,6,7,8,6,5,0,6,6,7,6,6,6,6,7,8,8,13,8,10,6,6,10,9,10,13,6,7,5,10,10,7,7,9,13,13,6,6,13,6,7,5,
PeriodFormatterBuilder_ESTest::test092 ,17,10,12,12,12,11,12,12,12,12,12,11,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,11,12,12,11,12,8,13,13,12,13,13,12,13,12,13,13,12,12,11,11,12,12,10,9,10,10,11,10,8,11,8,12,12,11,11,11,12,12,20,16,14,13,11,12,15,10,10,10,11,10,10,6,0,12,11,12,12,12,12,12,13,13,14,13,10,11,11,12,13,12,14,10,12,11,12,12,12,11,12,15,15,10,10,14,11,12,11,
PeriodFormatterBuilder_ESTest::test093 ,16,2,4,3,4,3,4,2,4,4,4,9,4,2,5,8,7,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,3,3,4,4,3,5,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,9,7,8,5,3,9,8,15,2,8,4,8,3,3,3,7,2,22,15,12,4,4,8,12,6,6,7,8,6,3,6,12,0,2,1,2,2,1,4,4,4,12,5,10,4,3,8,9,8,11,5,5,3,8,8,5,6,7,11,11,6,4,12,4,3,2,
PeriodFormatterBuilder_ESTest::test094 ,17,3,4,3,4,5,4,2,4,4,4,9,4,2,5,8,7,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,4,3,6,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,9,8,9,5,3,9,8,15,3,7,4,8,3,3,3,8,2,21,15,12,4,4,8,12,6,6,7,8,6,4,7,11,2,0,2,2,3,2,4,4,4,12,5,10,4,3,8,9,8,11,5,6,4,8,8,6,6,7,12,12,6,4,12,4,3,3,
PeriodFormatterBuilder_ESTest::test095 ,16,2,3,3,3,4,3,1,3,3,3,9,3,1,4,8,7,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,2,4,3,2,5,3,9,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,9,7,8,5,3,9,8,15,2,8,3,8,3,3,3,7,1,22,15,12,3,3,8,12,6,6,7,8,6,3,6,12,1,2,0,1,2,0,4,3,3,12,4,10,3,3,8,9,8,11,5,5,3,8,8,5,6,7,11,11,6,4,12,4,2,1,
PeriodFormatterBuilder_ESTest::test096 ,17,2,2,3,2,5,2,0,2,2,2,9,2,0,3,8,7,1,2,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2,3,1,3,2,1,1,4,2,1,6,2,9,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,9,8,9,5,3,9,8,15,2,8,2,8,3,3,3,7,0,22,15,12,2,3,8,12,6,6,7,8,6,3,6,12,2,2,1,0,2,1,4,2,2,12,3,11,3,2,8,9,8,11,5,6,4,8,8,6,6,7,12,12,6,4,12,4,1,1,
PeriodFormatterBuilder_ESTest::test097 ,17,4,4,4,4,5,4,2,4,4,4,10,4,2,5,8,7,1,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,7,4,9,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,7,8,9,4,4,10,7,15,4,8,4,7,4,4,3,6,2,20,15,12,4,3,7,11,7,7,8,9,7,5,6,12,2,3,2,2,0,2,4,4,4,11,5,11,4,3,8,10,7,10,5,6,4,8,7,6,6,7,12,12,6,4,11,5,3,3,
PeriodFormatterBuilder_ESTest::test098 ,16,2,3,3,3,4,3,1,3,3,3,9,3,1,4,8,7,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,2,4,3,2,5,3,9,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,9,7,8,5,3,9,8,15,2,8,3,8,3,3,3,7,1,22,15,12,3,3,8,12,6,6,7,8,6,3,6,12,1,2,0,1,2,0,4,3,3,12,4,10,3,3,8,9,8,11,5,5,3,8,8,5,6,7,11,11,6,4,12,4,2,1,
PeriodFormatterBuilder_ESTest::test099 ,17,5,5,3,5,6,4,4,5,5,4,9,5,4,6,8,7,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,4,7,5,8,5,5,4,5,5,4,5,4,5,5,4,4,4,5,5,8,9,10,3,4,9,9,13,4,8,5,8,4,4,5,8,4,21,13,12,5,4,8,12,7,7,8,9,7,6,7,12,4,4,4,4,4,4,0,5,5,12,6,11,5,4,7,8,8,11,4,7,5,8,8,7,7,9,12,12,7,4,12,5,4,5,
PeriodFormatterBuilder_ESTest::test100 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test101 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test102 ,17,12,13,11,13,12,13,12,13,13,13,9,13,12,14,6,6,11,12,13,13,12,12,13,12,12,12,12,13,12,12,12,12,12,11,12,12,12,12,12,12,13,12,12,13,12,13,13,12,13,13,12,13,12,13,13,12,12,11,12,12,5,13,13,10,11,7,12,14,11,13,13,6,10,10,11,5,12,19,14,1,13,9,4,1,12,12,12,12,12,13,13,14,12,12,12,12,11,12,12,13,13,0,14,11,13,10,6,11,5,11,12,12,12,7,6,12,12,6,7,7,12,10,0,11,12,12,
PeriodFormatterBuilder_ESTest::test103 ,19,4,1,6,1,8,3,3,1,1,3,11,2,3,0,10,10,4,3,2,1,3,4,1,3,3,4,3,1,2,3,4,3,3,5,2,4,3,2,2,5,2,2,8,2,10,1,1,3,1,1,3,1,3,1,1,2,3,6,3,5,11,10,11,7,4,11,11,17,4,9,1,11,6,6,4,10,3,24,16,14,1,5,10,15,8,9,10,11,9,4,8,13,5,5,4,3,5,4,6,1,1,14,0,13,4,4,10,11,10,14,6,8,7,11,11,8,8,10,15,15,8,6,14,6,2,3,
PeriodFormatterBuilder_ESTest::test104 ,15,10,12,10,12,10,12,11,12,12,12,11,11,11,13,11,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,11,12,12,11,12,10,13,13,10,13,13,10,13,10,13,13,11,10,9,11,11,11,7,7,9,9,10,11,12,9,10,12,10,9,9,11,10,11,19,14,11,13,10,11,12,10,11,11,11,11,11,10,10,10,10,10,11,11,10,11,13,13,11,13,0,10,10,11,11,11,10,10,11,9,10,10,10,10,11,12,12,9,9,11,10,12,10,
PeriodFormatterBuilder_ESTest::test105 ,17,3,3,5,3,6,3,3,3,3,3,10,2,3,4,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,6,3,8,4,4,3,4,4,3,4,3,4,4,3,2,5,3,4,10,8,9,5,2,9,8,15,3,8,3,10,5,5,3,9,3,23,14,12,4,4,9,14,5,6,7,8,6,4,6,11,4,4,3,3,4,3,5,4,4,13,4,10,0,3,9,9,9,11,4,6,4,10,10,6,6,9,13,13,6,4,13,5,3,3,
PeriodFormatterBuilder_ESTest::test106 ,16,2,3,3,3,6,3,2,3,3,3,9,3,2,4,6,6,2,2,3,3,2,3,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,2,3,3,2,6,3,7,3,3,2,3,3,2,3,2,3,3,2,2,3,2,4,7,8,9,3,1,8,8,14,1,8,3,7,2,2,2,6,2,20,14,10,3,1,6,11,6,6,7,8,6,3,6,11,3,3,3,2,3,3,4,3,3,10,4,10,3,0,6,8,6,11,4,6,5,7,7,6,6,7,11,11,6,2,10,4,2,2,
PeriodFormatterBuilder_ESTest::test107 ,16,8,9,7,9,8,9,8,9,9,9,8,9,8,10,2,1,8,8,9,9,8,8,9,8,8,8,8,9,8,8,8,8,8,7,8,8,8,8,8,8,9,8,8,9,8,9,9,8,9,9,8,9,8,9,9,8,8,7,8,8,3,10,10,6,7,6,10,13,7,9,9,3,6,6,8,2,8,20,14,6,9,5,2,7,9,9,9,10,9,9,10,12,8,8,8,8,8,8,7,9,9,6,10,11,9,6,0,8,2,11,7,8,8,3,3,8,8,3,6,6,8,6,6,7,8,8,
PeriodFormatterBuilder_ESTest::test108 ,16,9,10,9,10,9,10,9,10,10,10,11,9,9,11,9,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,8,10,7,11,11,9,11,11,9,11,9,11,11,9,8,9,9,9,9,11,10,8,8,9,9,14,8,11,10,8,8,8,9,8,9,22,14,11,11,9,9,11,9,9,9,10,9,8,9,13,9,9,9,9,10,9,8,11,11,11,11,11,9,8,8,0,9,8,7,8,9,9,8,9,8,9,11,11,10,9,11,10,10,9,
PeriodFormatterBuilder_ESTest::test109 ,16,8,9,7,9,8,9,8,9,9,9,9,9,8,10,2,2,7,8,8,9,8,8,9,8,8,8,8,9,8,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,8,9,9,8,9,9,8,9,8,9,9,8,8,7,8,8,2,10,10,6,7,6,9,14,7,9,9,1,5,5,7,1,8,19,13,6,9,6,1,6,8,9,8,10,9,9,10,12,8,8,8,8,7,8,8,9,9,5,10,11,9,6,2,9,0,11,8,7,8,2,1,7,7,3,6,6,7,5,5,7,8,8,
PeriodFormatterBuilder_ESTest::test110 ,17,12,13,10,13,10,13,11,13,13,13,12,12,11,14,11,11,10,12,13,13,12,13,13,12,12,13,12,13,12,12,13,12,12,12,12,13,12,12,12,12,13,12,10,13,11,13,13,11,13,13,11,13,11,13,13,12,11,11,11,11,12,12,12,10,11,10,11,14,11,13,13,11,10,10,12,11,11,21,13,10,13,10,11,12,11,10,11,11,10,11,13,14,11,11,11,11,10,11,11,13,13,11,14,10,11,11,11,8,11,0,12,11,10,11,11,11,11,12,10,10,11,10,11,12,12,12,
