:,ComplexFieldTest::testOne,ComplexFieldTest::testSerial,ComplexFieldTest::testZero,ComplexFormatAbstractTest::testConstructorSingleFormat,ComplexFormatAbstractTest::testDefaultFormatComplex,ComplexFormatAbstractTest::testDifferentImaginaryChar,ComplexFormatAbstractTest::testForgottenImaginaryCharacter,ComplexFormatAbstractTest::testFormatNumber,ComplexFormatAbstractTest::testGetImaginaryFormat,ComplexFormatAbstractTest::testGetRealFormat,ComplexFormatAbstractTest::testNan,ComplexFormatAbstractTest::testNegativeBoth,ComplexFormatAbstractTest::testNegativeImaginary,ComplexFormatAbstractTest::testNegativeInfinity,ComplexFormatAbstractTest::testNegativeReal,ComplexFormatAbstractTest::testParseDifferentImaginaryChar,ComplexFormatAbstractTest::testParseNan,ComplexFormatAbstractTest::testParseNegativeBoth,ComplexFormatAbstractTest::testParseNegativeImaginary,ComplexFormatAbstractTest::testParseNegativeReal,ComplexFormatAbstractTest::testParsePositiveInfinity,ComplexFormatAbstractTest::testParseSimpleNoDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testParseZeroImaginary,ComplexFormatAbstractTest::testParseZeroReal,ComplexFormatAbstractTest::testPaseNegativeInfinity,ComplexFormatAbstractTest::testPositiveInfinity,ComplexFormatAbstractTest::testSimpleNoDecimals,ComplexFormatAbstractTest::testSimpleWithDecimals,ComplexFormatAbstractTest::testSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testTrimOneImaginary,ComplexFormatAbstractTest::testZeroImaginary,ComplexFormatAbstractTest::testZeroReal,ComplexTest::testAbs,ComplexTest::testAbsInfinite,ComplexTest::testAbsNaN,ComplexTest::testAcos,ComplexTest::testAcosInf,ComplexTest::testAcosNaN,ComplexTest::testAdd,ComplexTest::testAddInf,ComplexTest::testAddNaN,ComplexTest::testAsin,ComplexTest::testAsinInf,ComplexTest::testAsinNaN,ComplexTest::testAtan,ComplexTest::testAtanI,ComplexTest::testAtanInf,ComplexTest::testAtanNaN,ComplexTest::testConjugate,ComplexTest::testConjugateInfiinite,ComplexTest::testConjugateNaN,ComplexTest::testConstructor,ComplexTest::testConstructorNaN,ComplexTest::testCos,ComplexTest::testCosInf,ComplexTest::testCosNaN,ComplexTest::testCosh,ComplexTest::testCoshInf,ComplexTest::testCoshNaN,ComplexTest::testDivide,ComplexTest::testDivideImaginary,ComplexTest::testDivideInf,ComplexTest::testDivideNaN,ComplexTest::testDivideNaNInf,ComplexTest::testDivideReal,ComplexTest::testDivideZero,ComplexTest::testDivideZeroZero,ComplexTest::testEqualsClass,ComplexTest::testEqualsImaginaryDifference,ComplexTest::testEqualsNaN,ComplexTest::testEqualsNull,ComplexTest::testEqualsRealDifference,ComplexTest::testEqualsSame,ComplexTest::testEqualsTrue,ComplexTest::testExp,ComplexTest::testExpInf,ComplexTest::testExpNaN,ComplexTest::testGetArgument,ComplexTest::testGetArgumentInf,ComplexTest::testGetArgumentNaN,ComplexTest::testHashCode,ComplexTest::testLog,ComplexTest::testLogInf,ComplexTest::testLogNaN,ComplexTest::testLogZero,ComplexTest::testMath221,ComplexTest::testMultiply,ComplexTest::testMultiplyInfInf,ComplexTest::testMultiplyNaN,ComplexTest::testMultiplyNaNInf,ComplexTest::testNegate,ComplexTest::testNegateNaN,ComplexTest::testNthRoot_cornercase_NAN_Inf,ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero,ComplexTest::testNthRoot_normal_fourthRoot,ComplexTest::testNthRoot_normal_thirdRoot,ComplexTest::testPow,ComplexTest::testPowInf,ComplexTest::testPowNaNBase,ComplexTest::testPowNaNExponent,ComplexTest::testPowZero,ComplexTest::testReciprocal,ComplexTest::testReciprocalImaginary,ComplexTest::testReciprocalInf,ComplexTest::testReciprocalNaN,ComplexTest::testReciprocalReal,ComplexTest::testReciprocalZero,ComplexTest::testScalarAdd,ComplexTest::testScalarAddInf,ComplexTest::testScalarAddNaN,ComplexTest::testScalarDivide,ComplexTest::testScalarDivideInf,ComplexTest::testScalarDivideNaN,ComplexTest::testScalarDivideZero,ComplexTest::testScalarMultiply,ComplexTest::testScalarMultiplyInf,ComplexTest::testScalarMultiplyNaN,ComplexTest::testScalarPow,ComplexTest::testScalarPowInf,ComplexTest::testScalarPowNaNBase,ComplexTest::testScalarPowNaNExponent,ComplexTest::testScalarPowZero,ComplexTest::testScalarSubtract,ComplexTest::testScalarSubtractInf,ComplexTest::testScalarSubtractNaN,ComplexTest::testSerial,ComplexTest::testSin,ComplexTest::testSinInf,ComplexTest::testSinNaN,ComplexTest::testSinh,ComplexTest::testSinhInf,ComplexTest::testSinhNaN,ComplexTest::testSqrt1z,ComplexTest::testSqrt1zNaN,ComplexTest::testSqrtImaginaryNegative,ComplexTest::testSqrtImaginaryZero,ComplexTest::testSqrtInf,ComplexTest::testSqrtNaN,ComplexTest::testSqrtPolar,ComplexTest::testSqrtRealNegative,ComplexTest::testSqrtRealPositive,ComplexTest::testSqrtRealZero,ComplexTest::testSubtract,ComplexTest::testSubtractInf,ComplexTest::testSubtractNaN,ComplexTest::testTan,ComplexTest::testTanCritical,ComplexTest::testTanInf,ComplexTest::testTanNaN,ComplexTest::testTanh,ComplexTest::testTanhCritical,ComplexTest::testTanhInf,ComplexTest::testTanhNaN,ComplexTest::testpowNull,ComplexUtilsTest::testPolar2Complex,ComplexUtilsTest::testPolar2ComplexIllegalModulus,ComplexUtilsTest::testPolar2ComplexInf,ComplexUtilsTest::testPolar2ComplexNaN,
ComplexTest::testCos ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testCosInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testCosNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testCosh ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testCoshInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testCoshNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testDivide ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testDivideImaginary ,4,4,4,3,1,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,8,1,1,3,4,3,2,4,4,2,6,2,2,4,4,2,4,4,4,3,3,4,3,1,2,4,4,2,4,4,2,0,3,3,3,1,3,2,3,2,2,3,2,3,2,2,4,4,15,3,4,15,2,14,4,4,3,2,4,3,13,3,4,20,17,17,20,18,1,4,3,3,3,3,2,2,4,2,4,2,4,2,2,6,2,3,3,3,2,2,5,3,2,4,2,4,2,1,2,4,4,2,4,4,2,4,2,2,4,4,11,2,2,1,2,6,2,5,4,3,4,5,2,3,4,4,26,3,9,4,
ComplexTest::testDivideInf ,7,7,7,6,4,5,5,6,6,6,6,5,5,6,5,5,6,5,5,5,6,5,5,5,4,4,6,6,5,5,5,6,4,4,6,3,6,3,7,7,5,5,4,5,7,7,5,7,7,7,6,3,7,6,4,5,7,7,5,7,7,5,3,0,6,6,2,6,4,6,3,3,6,3,6,5,3,7,7,12,5,7,13,5,13,7,7,3,5,7,6,10,6,7,20,17,17,20,17,4,7,6,6,6,6,3,4,7,3,7,5,4,5,5,3,5,5,4,4,5,5,6,6,5,4,5,4,5,3,5,7,7,5,7,7,5,7,4,3,7,7,11,4,4,4,5,5,4,4,4,5,7,4,5,5,7,7,24,6,9,6,
ComplexTest::testDivideNaN ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testDivideNaNInf ,1,2,1,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,2,2,1,1,2,2,2,11,2,2,1,7,1,4,1,1,2,9,3,2,1,1,2,1,1,1,1,5,1,1,3,2,1,1,2,1,1,2,3,6,1,0,4,1,2,1,4,3,2,4,1,2,3,1,1,18,1,1,18,2,17,1,1,6,2,1,2,16,1,1,20,18,17,21,19,3,1,1,1,1,1,3,3,1,3,1,2,5,2,2,9,2,4,6,5,2,2,5,1,2,5,2,5,2,4,2,1,1,2,1,1,2,1,3,3,1,1,11,3,3,2,2,9,3,8,6,2,1,8,2,2,1,2,26,1,9,2,
ComplexTest::testDivideReal ,5,5,5,4,2,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,3,3,3,2,2,4,4,3,3,3,7,2,2,4,4,4,3,5,5,3,6,2,3,5,5,3,5,5,5,4,3,5,4,2,3,5,5,3,5,5,3,1,2,4,4,0,4,3,4,2,2,4,2,4,3,2,5,5,14,4,5,15,3,14,5,5,3,3,5,4,12,4,5,20,17,17,20,17,2,5,4,4,4,4,2,2,5,2,5,3,4,3,3,5,3,4,3,3,3,3,4,4,3,4,3,4,3,2,3,5,5,3,5,5,3,5,2,2,5,5,11,2,2,2,3,6,2,5,4,4,5,5,3,4,5,5,25,4,9,4,
ComplexTest::testDivideZero ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testDivideZeroZero ,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,10,1,1,2,5,2,2,3,3,2,7,2,2,3,3,2,3,3,3,2,3,3,2,2,2,3,3,2,3,3,2,2,4,2,2,3,2,0,2,2,1,2,2,2,2,2,3,3,16,1,3,16,2,16,3,3,4,2,3,2,14,2,3,20,16,16,20,18,2,3,2,2,2,2,1,2,3,1,3,2,4,2,2,7,2,2,5,4,2,2,5,2,2,4,2,4,2,3,2,3,3,2,3,3,2,3,2,1,3,3,11,2,2,1,2,7,2,6,4,2,3,6,1,1,3,3,25,2,9,3,
ComplexTest::testEqualsClass ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testEqualsImaginaryDifference ,5,5,5,4,3,4,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,3,3,2,2,4,4,4,3,3,9,2,2,4,3,4,3,5,5,3,5,3,3,5,5,3,5,5,5,4,1,5,4,3,3,5,5,3,5,5,3,2,3,4,4,2,4,2,4,0,1,4,0,4,3,2,5,5,14,3,5,14,3,15,5,5,2,3,5,4,12,4,5,20,16,16,20,18,3,5,4,4,4,4,1,3,5,1,5,3,3,3,3,5,3,3,4,3,3,3,5,4,3,2,3,3,3,3,3,5,5,3,5,5,3,5,3,1,5,5,11,3,3,2,3,5,3,5,3,3,5,5,3,3,5,5,24,4,9,5,
ComplexTest::testEqualsNaN ,4,4,4,3,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,9,1,1,3,4,3,2,4,4,2,6,2,2,4,4,2,4,4,4,3,2,4,3,2,2,4,4,2,4,4,2,2,3,3,3,2,3,1,3,1,0,3,1,3,2,1,4,4,15,2,4,15,2,15,4,4,3,2,4,3,13,3,4,20,16,16,20,18,2,4,3,3,3,3,0,2,4,0,4,2,3,2,2,6,2,3,4,3,2,2,5,3,2,3,2,3,2,2,2,4,4,2,4,4,2,4,2,0,4,4,11,2,2,1,2,6,2,5,3,2,4,5,2,2,4,4,25,3,9,4,
ComplexTest::testEqualsNull ,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,10,2,2,1,7,1,4,2,2,1,9,2,1,2,2,1,2,2,2,1,5,2,1,2,1,2,2,1,2,2,1,3,6,1,2,4,1,2,1,4,3,0,4,1,1,3,2,2,18,2,2,18,1,16,2,2,6,1,2,1,16,1,2,20,18,17,20,18,2,2,1,1,1,1,3,2,2,3,2,1,5,1,1,9,1,4,5,4,1,1,5,1,1,5,1,5,1,3,1,2,2,1,2,2,1,2,2,3,2,2,12,2,2,2,1,9,2,8,6,3,2,8,2,3,2,2,27,2,10,2,
ComplexTest::testEqualsRealDifference ,5,5,5,4,3,4,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,3,3,2,2,4,4,4,3,3,9,2,2,4,3,4,3,5,5,3,5,3,3,5,5,3,5,5,5,4,1,5,4,3,3,5,5,3,5,5,3,2,3,4,4,2,4,2,4,0,1,4,0,4,3,2,5,5,14,3,5,14,3,15,5,5,2,3,5,4,12,4,5,20,16,16,20,18,3,5,4,4,4,4,1,3,5,1,5,3,3,3,3,5,3,3,4,3,3,3,5,4,3,2,3,3,3,3,3,5,5,3,5,5,3,5,3,1,5,5,11,3,3,2,3,5,3,5,3,3,5,5,3,3,5,5,24,4,9,5,
ComplexTest::testEqualsSame ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testEqualsTrue ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testExp ,4,4,4,3,1,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,8,2,2,3,4,3,1,4,4,2,6,2,2,4,4,2,4,4,4,3,3,4,3,1,2,4,4,2,4,4,2,2,3,3,3,2,3,2,3,2,1,3,2,3,2,0,4,4,15,3,4,15,2,14,4,4,3,2,4,3,13,3,4,20,17,17,20,18,1,4,3,3,3,3,1,2,4,1,4,2,2,2,2,6,2,3,3,3,2,2,5,3,2,4,2,2,2,1,2,4,4,2,4,4,2,4,2,1,4,4,11,2,2,2,2,6,2,5,4,3,4,5,3,3,4,4,26,4,9,4,
ComplexTest::testExpInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testExpNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testGetArgument ,19,19,19,18,16,16,17,18,18,18,18,17,17,18,17,17,18,17,17,17,18,16,17,17,16,16,18,18,17,17,17,10,16,16,18,11,18,14,19,19,17,10,16,17,19,19,17,19,19,19,18,13,19,18,16,17,19,19,17,19,19,17,15,12,18,18,14,18,16,18,14,15,18,14,18,17,15,19,19,0,17,19,12,17,14,19,19,12,17,19,18,6,18,19,20,17,17,20,17,16,19,18,18,18,18,15,16,19,15,19,17,13,17,17,10,17,14,16,14,17,17,14,18,17,13,17,13,17,15,17,19,19,17,19,19,17,19,16,15,19,19,17,16,16,16,17,10,16,11,15,16,19,10,17,16,19,19,21,18,16,17,
ComplexTest::testGetArgumentInf ,2,2,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,11,2,2,2,6,2,3,2,2,2,8,3,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,2,3,5,2,1,4,2,1,2,3,2,2,3,2,2,3,2,2,17,0,2,17,2,17,2,2,5,2,2,2,15,2,2,20,17,17,21,19,3,2,2,2,2,2,2,3,2,2,2,2,5,2,2,8,2,3,6,5,2,2,5,2,2,4,2,5,2,4,2,2,2,2,2,2,2,2,3,2,2,2,11,3,3,2,2,8,3,7,5,1,2,7,2,1,2,2,25,1,9,2,
ComplexTest::testGetArgumentNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testHashCode ,19,17,19,18,16,18,15,18,18,18,18,17,17,18,17,17,18,17,17,17,18,18,17,17,16,16,18,18,18,17,17,15,16,16,18,11,18,14,19,19,17,12,17,17,19,19,17,19,19,19,18,13,19,18,16,17,19,19,17,19,19,17,15,13,18,18,15,18,16,18,14,15,18,14,18,17,15,19,19,12,17,19,0,17,15,19,19,13,17,19,18,13,18,19,17,15,16,18,17,16,19,18,18,18,18,15,17,19,15,19,17,15,17,17,12,17,16,16,16,17,17,19,18,17,14,17,15,17,15,17,19,19,17,19,19,17,19,17,15,19,19,17,17,17,16,17,12,17,12,15,17,19,13,17,17,19,19,22,18,18,19,
ComplexTest::testLog ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testLogInf ,17,17,17,16,14,16,15,16,16,16,16,15,15,16,15,15,16,15,15,15,16,16,15,15,15,15,16,16,16,15,15,12,15,15,16,14,16,14,17,17,15,14,15,15,17,17,15,17,17,17,16,15,17,16,14,15,17,17,15,17,17,15,14,13,16,17,14,16,16,16,15,15,16,15,16,15,14,17,17,14,17,17,15,15,0,17,17,14,15,17,16,14,16,17,20,18,17,20,18,14,17,16,16,16,16,15,15,17,15,17,15,14,15,15,13,15,16,14,14,15,15,17,16,15,16,15,14,15,13,15,17,17,15,17,17,15,17,15,15,17,17,15,15,15,15,15,14,15,11,12,17,17,11,15,17,17,17,21,17,10,17,
ComplexTest::testLogNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testLogZero ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
